"_type","budget_dinner","budget_lunch","genre","name","reviewCount","score","score_dinner","score_lunch"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","洋食、ハンバーグ、オムライス","
                taku
              ","35","3.28","3.09","3.39"
"dict","null","￥1,000～￥1,999","喫茶店、中国茶専門店、カフェ","
                香格里拉
              ","5","3.04","3.00","3.04"
"dict","null","￥1,000～￥1,999","カフェ","
                カフェ ザ ローズ
              ","8","3.03","-","3.03"
"dict"," ～￥999"," ～￥999","上海料理、肉まん・中華まん","
                大三元酒家
              ","40","3.13","3.09","3.13"
"dict","￥1,000～￥1,999","￥1,000～￥1,999","中国茶専門店、喫茶店","
                中国茶藝館茗香閣
              ","22","3.11","3.09","3.09"
"dict","￥4,000～￥4,999","￥1,000～￥1,999","台湾料理","
                萬和樓
              ","70","3.49","3.47","3.16"
"dict","null","￥1,000～￥1,999","カフェ","
                ZAIM CAFE ANNEX
              ","15","3.07","-","3.07"
"dict","￥1,000～￥1,999","￥1,000～￥1,999","カフェ、喫茶店、コーヒー専門店","
                カフェ・ラ・ミル 横浜元町店
              ","30","3.07","3.00","3.07"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","カフェ、紅茶専門店、パン","
                カオリズ
              ","110","3.51","3.07","3.51"
"dict"," ～￥999","null","その他","
                マリンタワーショップ
              ","4","3.03","3.03","3.00"
"dict"," ～￥999","null","その他","
                ローソン 横浜新山下三丁目店
              ","1","3.00","3.00","-"
"dict","null"," ～￥999","居酒屋","
                食楽堂 近藤商店
              ","9","3.07","3.00","3.08"
"dict","￥1,000～￥1,999","null","中華料理、上海料理、肉まん・中華まん","
                点心坊
              ","3","3.03","-","3.04"
"dict","￥3,000～￥3,999","null","焼鳥","
                秋
              ","null","-","-","-"
"dict","￥1,000～￥1,999","￥1,000～￥1,999","ファミレス、イタリアン、パスタ","
                サイゼリヤ 元町・中華街駅前店
              ","9","3.00","3.00","3.00"
"dict","null"," ～￥999","定食・食堂","
                花柳
              ","5","3.05","3.01","3.05"
"dict","￥1,000～￥1,999","null","バー、カフェ","
                カフェバー横濱 
              ","1","3.00","3.00","-"
"dict","null","null","その他","
                ボード ウォーク ショップ
              ","1","-","-","-"
"dict","null","null","カフェ、ダイニングバー","
                CAFE　INVITARE
              ","null","-","-","-"
